,27.02,28.02,29.02,1.03,2.03,3.03,4.03,5.03,6.03,7.03,8.03,9.03,10.03,11.03,12.03,13.03,14.03
According to wikipedia,,,,,,,,,,,,,,,,,
Total (cumulative),1,1,1,1,1,2,2,5,10,10,10,10,13,17,41,109,
Total (new),1,0,0,0,0,1,0,3,5,0,0,0,3,4,24,68,
Tallinn/Harjumaa,52,,,,,,,,,,,,,,,,
Tartu,6,,,,,,,,,,,,,,,,
Võru,9,,,,,,,,,,,,,,,,
Saaremaa,31,,,,,,,,,,,,,,,,
Virumaa,3,,,,,,,,,,,,,,,,
Pärnu,6,,,,,,,,,,,,,,,,
Jõhvi,2,,,,,,,,,,,,,,,,
Teadmata,0,,,,,,,,,,,,,,,,
